,year,make,model,price
0,2023,Honda,Elevate,14530
1,2023,Honda,e,37140
2,2023,Honda,e Advance,37140
3,2023,Honda,Pilot Elite AWD,52030
4,2023,Honda,Pilot EX-L 8-Passenger AWD,42310
5,2023,Honda,Pilot EX-L 8-Passenger 2WD,41950
6,2023,Honda,Pilot Sport 4WD,40080
7,2023,Honda,City ZX CVT,19350
8,2023,Honda,City V CVT,16510
9,2023,Honda,New City ZX Petrol MT,17880
10,2023,Honda,New City VX Petrol MT,16400
11,2023,Honda,City Hybrid eHEV ZX,24770
12,2023,Honda,City Hybrid eHEV V,22970
13,2023,Honda,New City V Petrol MT,15030
14,2023,Honda,New City SV Petrol MT,14010
15,2023,Honda,City Hybrid ZX CVT,28520
16,2023,Honda,City Hybrid V CVT,26450
17,2023,Honda,City V,17500
18,2023,Honda,City SV,16260
19,2023,Honda,City Hybrid,26640
20,2023,Honda,HR-V VTi-S,28230
21,2023,Honda,HR-V VTi,27470
22,2023,Honda,Accord EX,29610
23,2023,Honda,Civic Type R Touring Manual,43290
24,2023,Honda,Passport EX-L,41100
25,2023,Honda,Pilot EX-L AWD,42310
26,2023,Honda,CR-V EX-L AWD,35260
27,2023,Honda,CR-V EX AWD,32610
28,2023,Honda,CR-V Hybrid Sport AWD,33950
29,2023,Honda,Civic Type R Touring,42890
30,2023,Honda,Civic Sport Sedan,24650
31,2023,Honda,Accord Hybrid Sport-L,33870
32,2023,Honda,Accord Sedan,28000
33,2023,Honda,ZR-V,25000
34,2023,BMW,i3s 120 Ah,45550
35,2023,BMW,iX3,70930
36,2023,BMW,i4 xDrive40,62600
37,2023,BMW,i7 eDrive50,106700
38,2023,BMW,iX1 xDrive30,60490
39,2023,BMW,i7 M70 xDrive,350000
40,2023,BMW,M2 Brooklyn Grau,63500
41,2023,BMW,M2 Zandvoort Blau,63000
42,2023,BMW,X1 sDrive18d M Sport,69420
43,2023,BMW,X1 sDrive18i xLine,64550
44,2023,BMW,X7 xDrive40d M Sport,179890
45,2023,BMW,X7 xDrive40i M Sport,171330
46,2023,BMW,Alpina B5 GT Sedan,156890
47,2023,BMW,Alpina B5 GT Wagon,161100
48,2023,BMW,M4 Competition Coupe,78600
49,2023,BMW,i4 eDrive35,51400
50,2023,BMW,3.0 CSL Coupe,750000
51,2023,BMW,5 Series Hybrid,56400
52,2023,BMW,4 Series M440i Gran Coupe,57450
53,2023,BMW,M8 Coupe Competition,308090
54,2023,BMW,M6,105990
55,2023,BMW,530i xDrive,57100
56,2023,BMW,530e Plug-In Hybrid,56400
57,2023,Lexus,LC 500 Edge Limited Edition,126290
58,2023,Lexus,RZ 450e Luxury,64000
59,2023,Lexus,RZ 450e Premium,58500
60,2023,Lexus,LX Ultra Luxury,126000
61,2023,Lexus,LC 500 Coupe,94000
62,2023,Lexus,IS 350 F SPORT Design AWD,44510
63,2023,Lexus,IS 300 AWD,41435
64,2023,Lexus,ES 350 F SPORT Handling,47800
65,2023,Lexus,NX 350h Luxury,49000
66,2023,Lexus,ES 300h F SPORT Design,46920
67,2023,Lexus,ES 250 F SPORT Design,45920
68,2023,Lexus,NX 250 Premium,41650
69,2023,Lexus,NX 350 F SPORT Handling,47050
70,2023,Lexus,UX 300e 73kWh,35920
71,2023,Lexus,UX 250h F SPORT HANDLING,42200
72,2023,Lexus,UX 250h Premium AWD,38630
73,2023,Lexus,UX 250h Premium,37230
74,2023,Lexus,UX 250h F SPORT DESIGN,37230
75,2023,Lexus,UX 250h AWD,36170
76,2023,Lexus,BX,57575
77,2023,Lexus,RX Hybrid 500h F Sport Performance,61600
78,2023,Lexus,NX 450h+ Plug-in Hybrid F SPORT,58400
79,2023,Lexus,RX Hybrid 350h,49000
80,2023,Lexus,IS 350 F Sport RWD,45760
81,2023,Lexus,UX Hybrid,34770
82,2023,Lexus,UX,43605
83,2023,Hyundai,Ioniq 5 LR AWD 77kWh,64960
84,2023,Hyundai,Ioniq 5 LR RWD 77kWh,56610
85,2023,Hyundai,Ioniq 6 LR AWD,49000
86,2023,Hyundai,Ioniq 6 LR RWD,45500
87,2023,Hyundai,Ioniq 6 SR RWD,41600
88,2023,Hyundai,Exter SUV,7300
89,2023,Hyundai,Exter,7300
90,2023,Hyundai,Mufasa,20000
91,2023,Hyundai,Verna SX (O) 1.5 VTVT IVT,19730
92,2023,Hyundai,Verna SX (O)1.5 VTVT,17870
93,2023,Hyundai,Verna SX 1.5 CRDi,15530
94,2023,Hyundai,loniq 6 Limited AWD,56100
95,2023,Hyundai,Ioniq 6 Limited,52600
96,2023,Hyundai,Ioniq 6 SEL AWD,51200
97,2023,Hyundai,Ioniq 6 SEL,47700
98,2023,Hyundai,Ioniq 6 SE AWD,49000
99,2023,Hyundai,Ioniq 6 SE,45500
100,2023,Hyundai,Ioniq 6 SE Standard Range,41600
101,2023,Hyundai,Verna SX 1.5 CRDi AT,16980
102,2023,Hyundai,Verna SX 1.5 VTVT IVT,17270
103,2023,Hyundai,Sonata 2.5,37120
104,2023,Hyundai,Sonata 2.0,34120
105,2023,Hyundai,Venue N Line N8 DCT,16450
106,2023,Hyundai,Verna SX 1.5 VTVT,13860
107,2023,Hyundai,Verna S Plus 1.5 CRDi,13630
108,2023,Hyundai,Venue N Line N8 DCT Dual Tone,16610
109,2023,Hyundai,Verna S Plus 1.5 VTVT,12160
110,2023,Hyundai,Verna E 1.5 VTVT,11700
111,2023,Hyundai,Venue N Line N6 DCT Dual Tone,15460
112,2023,Hyundai,Venue N Line N6 DCT,15280
113,2023,Hyundai,Venue N-Line,15190
114,2023,Hyundai,Grand i10 Nios Era,8150
115,2023,Hyundai,Aura E,9240
116,2023,Hyundai,Stargazer,12230
117,2023,Hyundai,Venue N Line,15190
118,2023,Hyundai,Elantra Manual,32900
119,2023,Hyundai,Elantra N Coupe,32920
120,2023,Hyundai,Grandeur Calligraphy Black Ink,30600
121,2023,Hyundai,Kona SE AWD,23640
122,2023,Hyundai,Kona N Line AWD,29350
123,2023,Hyundai,Palisade SE AWD,37150
124,2023,Hyundai,Palisade Limited AWD,48700
125,2023,Hyundai,Palisade Limited AWD,48700
126,2023,Hyundai,Kona N Line,27700
127,2023,Hyundai,Ioniq 5 Limited,52600
128,2023,Hyundai,Ioniq 5 SEL,46250
129,2023,Toyota,Tundra 1794 Edition Hybrid,68200
130,2023,Toyota,Urban Cruiser Hyryder,13080
131,2023,Toyota,Bz4x AWD,48800
132,2023,Toyota,Bz4x FWD,46700
133,2023,Toyota,bZ3 65kWh,24500
134,2023,Toyota,bZ3 50kWh,27500
135,2023,Toyota,Innova Crysta VX 2.4 8 STR,29150
136,2023,Toyota,Innova Crysta GX 7 STR,24450
137,2023,Toyota,Supra Plasma Orange 100 Edition,55750
138,2023,Toyota,Innova Crysta G-SLF 8 STR,23510
139,2023,Toyota,Innova Crysta G-SLF 7 STR,23450
140,2023,Toyota,Innova Hycross ZX (O) Hybrid 7 STR,36310
141,2023,Toyota,Innova Hycross ZX Hybrid 7 STR,35530
142,2023,Toyota,Innova Hycross VX (O) Hybrid 8 STR,32490
143,2023,Toyota,Innova Hycross VX (O) Hybrid 7 STR,32420
144,2023,Toyota,Prius Limited AWD-e,34460
145,2023,Toyota,Innova Hycross VX Hybrid 8 STR,30010
146,2023,Toyota,Innova Hycross VX Hybrid 7 STR,29950
147,2023,Toyota,Innova Hycross GX 8 STR,23540
148,2023,Toyota,Innova Hycross GX 7 STR,23470
149,2023,Toyota,Innova Hycross G-SLF 8 STR,22590
150,2023,Toyota,Innova Hycross G-SLF 7 STR,22540
151,2023,Toyota,Aygo X Undercover,17000
152,2023,Toyota,Land Cruiser ZX Gasoline 3.5L,536530
153,2023,Toyota,Corolla,26700
154,2023,Toyota,Prius Prime XSE Premium,35600
155,2023,Toyota,Prius Prime XSE,35600
156,2023,Toyota,Prius Prime SE,32350
157,2023,Toyota,RAV4 Prime SE Plug-in Hybrid,42340
158,2023,Toyota,Sequoia Limited 4WD,67700
159,2023,Toyota,Century SUV,170000
160,2023,Toyota,RAV4 Hybrid,30720
161,2023,Toyota,Highlander Hybrid Platinum AWD,52620
162,2023,Toyota,Highlander Platinum AWD,51220
163,2023,Toyota,Highlander Limited AWD,48020
164,2023,Toyota,Camry SE AWD,29160
165,2023,Toyota,Sienna XSE AWD,44450
166,2023,Toyota,Yaris MT 1.3,16000
167,2023,Toyota,Yaris MT 1.5,18000
168,2023,Toyota,RAV4 Hybrid XSE,35885
169,2023,KIA,EV6 Limited Edition,63000
170,2023,KIA,EV6 SR RWD,42700
171,2023,KIA,Forte LX IVT,19690
172,2023,KIA,Forte GT-Line IVT,21690
173,2023,KIA,Forte LXS IVT,19990
174,2023,KIA,Stonic Quantum Special Edition,26400
175,2023,KIA,K5 GT-Line AWD,28190
176,2023,KIA,Telluride SX-P X-Pro,52780
177,2023,KIA,Telluride SX-P X-Line,51785
178,2023,KIA,Telluride SX X-Pro,49885
179,2023,KIA,Telluride SX X-Line,48885
180,2023,KIA,Niro SX Touring,34790
181,2023,KIA,Niro SX,32490
182,2023,KIA,Niro EX Touring,31390
183,2023,KIA,Telluride S AWD,39590
184,2023,KIA,Telluride LX AWD,37690
185,2023,KIA,Sorento Hybrid EX AWD,38890
186,2023,KIA,Sorento LX AWD,31790
187,2023,KIA,Niro EV SX,44450
188,2023,KIA,EV6 GT-Line,52700
189,2023,KIA,EV6 Wind AWD,52400
190,2023,KIA,EV6 Wind,48500
191,2023,KIA,Picanto,14000
192,2023,KIA,Cerato,18380
193,2023,KIA,Sorento Plug-in Hybrid SX Prestige,49890
194,2023,KIA,Rio5 S,17490
195,2023,KIA,Carens Premium Turbo,15050
196,2023,KIA,Carnival LX Seat Package,34900
197,2023,Nissan,e-NV200,31500
198,2023,Nissan,Ariya Evolve Plus e-4ORCE,63530
199,2023,Nissan,Ariya Engage 2WD 87kWh,43190
200,2023,Nissan,Ariya Engage 2WD 63kWh,43190
201,2023,Nissan,Ariya ENGAGE Plus,51190
202,2023,Nissan,Ariya PREMIERE,54690
203,2023,Nissan,Ariya PLATINUM Plus,60190
204,2023,Nissan,Ariya EVOLVE e-4ORCE AWD,54190
205,2023,Nissan,Ariya ENGAGE e-4ORCE AWD,47190
206,2023,Nissan,Ariya e-4ORCE,55870
207,2023,Nissan,Ariya EMPOWER Plus,53690
208,2023,Nissan,Ariya EVOLVE Plus,50190
209,2023,Nissan,Ariya VENTURE Plus,47190
210,2023,Nissan,Ariya ENGAGE,43190
211,2023,Nissan,Altima 2.5 SL AWD,33490
212,2023,Nissan,Altima 2.5 SR AWD,28990
213,2023,Nissan,Altima 2.5 SR,27490
214,2023,Nissan,Altima 2.5 SV,26090
215,2023,Nissan,Rogue Platinum AWD,38640
216,2023,Nissan,Pathfinder Rock Creek,43020
217,2023,Nissan,Murano Platinum AWD,45210
218,2023,Nissan,Murano S AWD,35360
219,2023,Nissan,Murano AWD SV,38900
220,2023,Nissan,Murano SV AWD,38900
221,2023,Nissan,Murano SL AWD,42860
222,2023,Nissan,Sentra SR,22700
223,2023,Nissan,Armada SL,57760
224,2023,Nissan,Altima 2.5 SL,31990
225,2023,Nissan,Rogue SL AWD,35210
226,2023,Nissan,Formula E,57800
227,2023,Nissan,Z Performance Auto,49990
228,2023,Nissan,Armada S 4WD,52900
229,2023,Nissan,Altima 2.5 SV AWD,27590
230,2023,Nissan,Pathfinder Platinum 4WD,49870
231,2023,Nissan,Versa S CVT,18250
232,2023,Nissan,Z Sport Auto,39990
233,2023,Nissan,Z,39990
234,2023,Nissan,Armada SV 4WD,56900
235,2023,Nissan,Z GT4,229000
236,2023,Nissan,GT-R Premium,113540
237,2023,Nissan,GT-R,113540
238,2023,Nissan,Urvan,25600
239,2023,Nissan,350Z,37890
240,2023,Nissan,Juke,17700
241,2023,Audi,A3 Sedan Premium 40 TFSI quattro,37400
242,2023,Audi,Q5 Premium Plus 40 TFSI quattro,44200
243,2023,Audi,Q5 Prestige 40 TFSI quattro,44200
244,2023,Audi,SQ7 4.0T Premium Plus quattro,90200
245,2023,Audi,A3 Sedan Premium Plus 40 TFSI quattro,37400
246,2023,Audi,RS4 Avant competition,87320
247,2023,Audi,SQ8 e-tron quattro,97000
248,2023,Audi,Q8 55 e-tron quattro,75000
249,2023,Audi,Q8 Sportback 50 e-tron Quattro,69000
250,2023,Audi,Q8 Sportback 55 e-tron Quattro,77800
251,2023,Audi,SQ8 Sportback e-tron quattro,100800
252,2023,Audi,RS E-Tron GT Special Edition,179900
253,2023,Audi,Q3 Sportback,62020
254,2023,Audi,Q5,43500
255,2023,Audi,R8 Coupe,222000
256,2023,Audi,A4 Avant,45900
257,2023,Audi,SQ5 3.0T Premium Quattro,55600
258,2023,Audi,Q4 Sportback e-tron,58200
259,2023,Audi,Q4 50 e-tron Premium,55200
260,2023,Audi,Q4 50 e-tron Prestige,90800
261,2023,Audi,S6 2.9T Premium quattro,73700
262,2023,Audi,Q4 40 e-tron Premium Plus,90800
263,2023,Audi,RS7 Sportback,120900
264,2023,Audi,RS6 Avant Performance,118900
265,2023,Audi,RS3,58900
266,2023,Audi,R8 V10 GT RWD,225000
267,2023,Audi,A6 Premium Plus 45 TFSI quattro,55900
268,2023,Chevrolet,Camaro LT1 Convertible,42400
269,2023,Chevrolet,Camaro 1SS Convertible,45900
270,2023,Chevrolet,Camaro 2SS Convertible,50900
271,2023,Chevrolet,Corvette Stingray Limited Edition,90800
272,2023,Chevrolet,Bolt EV 65kWh,32500
273,2023,Chevrolet,Silverado EV RST,105000
274,2023,Chevrolet,Bolt EV 66kWh,37500
275,2023,Chevrolet,Silverado EV WT,40000
276,2023,Chevrolet,Colorado ZR2 Bison,43900
277,2023,Chevrolet,Corvette Z06 2LZ Coupe,114500
278,2023,Chevrolet,Corvette Z06 1LZ Coupe,105300
279,2023,Chevrolet,Camaro 2SS Coupe,44900
280,2023,Chevrolet,Camaro 1SS Coupe,39900
281,2023,Chevrolet,Camaro LT1 Coupe,36400
282,2023,Chevrolet,Camaro 3LT Coupe,32900
283,2023,Chevrolet,Camaro 2LT Coupe,28900
284,2023,Chevrolet,Camaro 1LT Coupe,26900
285,2023,Chevrolet,Blazer 2LT AWD,36100
286,2023,Chevrolet,Montana,25000
287,2023,Chevrolet,Onix,17195
288,2023,Ford,GT 68 Heritage Edition,1100000
289,2023,Ford,F-150 Shelby Centennial Edition,138500
290,2023,Ford,E-Tourneo Courier,39990
291,2023,Ford,F-150 Lightning LR AWD,81000
292,2023,Ford,Mustang Mach-E SR AWD,49000
293,2023,Ford,Mustang Mach-E SR,46000
294,2023,Ford,F-150 Lightning SR AWD,56000
295,2023,Ford,Shelby Mustang Mach-E GT,65400
296,2023,Ford,Transit Trail Camper Van 250,65970
297,2023,Ford,Ranger Wildtrak X,51000
298,2023,Ford,Transit Passenger Van,50130
299,2023,Ford,Bronco Sport,29210
300,2023,Ford,Mustang EcoBoost Premium Convertible,38290
301,2023,Ford,Ranger LARIAT,35500
302,2023,Ford,Mustang GT Premium,43360
303,2023,Ford,Mustang GT,38340
304,2023,Ford,Mustang EcoBoost Premium,32790
305,2023,Ford,Mustang Mach-E California Route 1,63570
306,2023,Ford,Mustang Mach-E Premium,54970
307,2023,Ford,F-450 Super Duty Limited,97810
308,2023,Ford,F-450 Super Duty Platinum,89455
309,2023,Ford,F-450 Super Duty King Ranch,85585
310,2023,Ford,F-450 Super Duty Lariat,73910
311,2023,Ford,F-450 Super Duty XLT,62645
312,2023,Ford,F-450 Super Duty XL,56625
313,2023,Ford,F-250 Super Duty Platinum,76865
314,2023,Ford,E-Transit Cargo Van 350,53790
315,2023,Ford,E-Transit Cargo Van 350 Chassis,50100
316,2023,Ford,Mustang,27770
317,2023,Ford,F-250 Super Duty King Ranch,75975
318,2023,Ford,F-250 Super Duty Lariat,61410
319,2023,Ford,Explorer Hybrid Limited,54060
320,2023,Ford,Expedition XL STX,54155
321,2023,Ford,Expedition Max XL 4x4,60200
322,2023,Ford,Escape Plug-In Hybrid,38500
323,2023,Ford,Bronco Sport Heritage Limited Edition,44655
324,2023,Ford,Bronco Sport Badlands,37340
325,2023,Ford,Bronco Sport Outer Banks,35615
326,2023,Ford,Bronco Sport Heritage Edition,32650
327,2023,Ford,Bronco Sport Big Bend,30930
328,2023,Ford,Bronco Sport Base,29215
329,2023,Ford,Bronco Heritage Limited Edition 4-Door,69185
330,2023,Ford,Bronco Heritage Limited Edition 2-Door,66895
331,2023,Mercedes,AMG G63 Grand Edition,249600
332,2023,Mercedes,EQA 300 4MATIC,57400
333,2023,Mercedes,EQS 350,102310
334,2023,Mercedes,EQA 350 4MATIC,60280
335,2023,Mercedes,EQV 250 Long,72720
336,2023,Mercedes,EQV 250 Extra Long,73680
337,2023,Mercedes,EQV 300 Long,76560
338,2023,Mercedes,EQV 300 Extra Long,77520
339,2023,Mercedes,AMG SL 43 Roadster,110000
340,2023,Mercedes,AMG SL43,110000
341,2023,Mercedes,EQS SUV 450 4MATIC,114470
342,2023,Mercedes,EQS 450 4MATIC,113050
343,2023,Mercedes,AMG CLS 53,87550
344,2023,Mercedes,EQT,50000
345,2023,Mercedes,Benz GLA-Class SUV,37500
346,2023,Mercedes,Benz GLB Class,39800
347,2023,Mercedes,AMG GT63 S E Performance,209600
348,2023,Mercedes,Benz EQA SUV,55300
349,2023,Mercedes,Benz S Class,243720
350,2023,Mercedes,AMG GLC 63 S 4MATIC Coupe,85600
351,2023,Mercedes,AMG C63 Coupe,81850
352,2023,Mercedes,Benz C Class Convertible,57250
353,2023,Mercedes,Benz C Class Coupe,49550
354,2023,Mercedes,AMG GT 53,106700
355,2023,Mercedes,Maybach GLS,170000
356,2023,Mercedes,AMG GT 53 4MATIC Plus,106800
357,2023,Mercedes,AMG GT,294070
358,2023,Porsche,718 Boxster GTS 4.0,92400
359,2023,Porsche,911 Dakar Dakar,222000
360,2023,Porsche,911 Turbo S by Mansory,232000
361,2023,Porsche,Taycan Art Car,200000
362,2023,Porsche,Panamera E-Hybrid Sport Turismo,113000
363,2023,Porsche,Panamera Sport Turismo,103200
364,2023,Porsche,Panamera Turbo,186400
365,2023,Porsche,Taycan Cross Turismo,97700
366,2023,Porsche,Cayenne Platinum Edition E-Hybrid,95500
367,2023,Porsche,Cayenne S Platinum Edition Coupe,97300
368,2023,Porsche,Cayenne S Coupe,95200
369,2023,Porsche,Cayenne S Platinum Edition,95100
370,2023,Porsche,Cayenne Platinum Edition,84800
371,2023,Porsche,Macan GTS,82900
372,2023,Porsche,Panamera 4S E-Hybrid Executive,130500
