price,make_bin_1,make_bin_2,make_bin_3,make_bin_4,make_bin_5,make_bin_6,model_bin_1,model_bin_2,model_bin_3,model_bin_4,model_bin_5,model_bin_6,model_bin_7,model_bin_8,model_bin_9,model_bin_10,model_bin_11
14530.0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
37140.0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0
37140.0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
52030.0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
42310.0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0
41950.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0
40080.0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0
19350.0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
16510.0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0
17880.0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
16400.0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0
24770.0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0
22970.0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0
15030.0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
14010.0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
28520.0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
26450.0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
17500.0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
16260.0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0
26640.0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
28230.0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0
27470.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0
29610.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
43290.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
41100.0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
42310.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0
35260.0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
32610.0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
33950.0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0
42890.0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
24650.0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0
33870.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
28000.0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
25000.0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1
45550.0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
70930.0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0
62600.0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
106700.0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
60490.0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0
350000.0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
63500.0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0
63000.0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
69420.0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
