price,make_bin_1,make_bin_2,make_bin_3,make_bin_4,make_bin_5,make_bin_6,model_bin_1,model_bin_2,model_bin_3,model_bin_4,model_bin_5,model_bin_6,model_bin_7,model_bin_8,model_bin_9,model_bin_10,model_bin_11
-2.451434574,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
-0.656555729,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0
-0.656555729,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
-0.168013375,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
-0.459330842,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0
-0.471929215,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0
-0.539941891,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0
-1.825706193,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
-2.162949124,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0
-1.990727301,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0
-2.177658917,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0
-1.344329651,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0
-1.486063866,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0
-2.373499402,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
-2.536651131,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
-1.091392696,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
-1.22469636,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
-2.03656334,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
-2.196585225,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0
-1.211848713,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
-1.109224105,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0
-1.157220293,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0
-1.026616318,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
-0.425796088,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
-0.502296797,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
-0.459330842,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0
-0.738266765,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
-0.864622598,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
-0.798971229,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0
-0.439351716,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
-1.353316566,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0
-0.802786401,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
-1.123553036,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
-1.327277047,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1
-0.352429372,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0.223178133,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0
0.071649459,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
0.665779478,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0.028631817,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0
1.590922605,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
0.089374368,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0
0.079571767,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.197649327,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
0.109606026,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
1.130514409,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1
1.091377968,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
1.018607446,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
1.040781179,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
0.341821211,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0
