price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city
313000.0,3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,Shoreline
2384000.0,5,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,Seattle
342000.0,3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,Kent
420000.0,3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,Bellevue
550000.0,4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,Redmond
490000.0,2,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,Seattle
335000.0,2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,Redmond
482000.0,4,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,Maple Valley
452500.0,3,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,North Bend
640000.0,4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,Seattle
463000.0,3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Lake Forest Park
1400000.0,4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,Seattle
588500.0,3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,Sammamish
365000.0,3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,Seattle
1200000.0,5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,Seattle
242500.0,3,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,Kent
419000.0,3,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,Bellevue
367500.0,4,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,Auburn
257950.0,3,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,Des Moines
275000.0,3,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,North Bend
750000.0,3,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,Seattle
435000.0,4,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,Bellevue
626000.0,3,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,Seattle
612500.0,4,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,Bothell
495000.0,4,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,Seattle
285000.0,3,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,Federal Way
615000.0,3,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,Seattle
698000.0,4,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,Kirkland
675000.0,5,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,Issaquah
790000.0,3,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,Seattle
382500.0,4,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,Kirkland
499950.0,4,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,Woodinville
650000.0,4,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,Seattle
625000.0,4,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,Shoreline
400000.0,4,2.5,3630,42884,1.5,0,0,3,2300,1330,1979,2014,Auburn
604000.0,3,2.5,3240,33151,2.0,0,2,3,3240,0,1995,0,Federal Way
440000.0,2,1.0,800,4850,1.0,0,0,4,800,0,1944,0,Seattle
287200.0,3,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,Maple Valley
403000.0,3,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,Normandy Park
750000.0,3,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,Seattle
335000.0,3,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,Fall City
260000.0,4,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,Renton
308500.0,2,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,Shoreline
439950.0,3,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,Seattle
235000.0,2,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,Seattle
315000.0,3,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,Woodinville
