Model,Train RMSE,Test RMSE,Train R2,Test R2,Gap,Fit Status
Linear Regression,0.0052,0.0021,1.0,1.0,-0.0,Generalization acceptable
Decision Tree,0.0,0.0668,1.0,0.9979,0.0021,Generalization acceptable
Random Forest,0.0139,0.0712,0.9999,0.9977,0.0023,Generalization acceptable
Gradient Boosting,0.0088,0.083,1.0,0.9968,0.0032,Generalization acceptable
AdaBoost,0.1075,0.1204,0.9946,0.9933,0.0013,Generalization acceptable
Extra Trees,0.0,0.1078,1.0,0.9946,0.0054,Generalization acceptable
SVR,0.7486,0.8068,0.7362,0.6985,0.0377,Generalization acceptable
KNN,0.3025,0.4369,0.9569,0.9116,0.0454,Generalization acceptable
MLP,0.0756,0.1757,0.9973,0.9857,0.0116,Generalization acceptable
XGBoost,0.0025,0.6838,1.0,0.7834,0.2166,Likely overfitting
