price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,years_since_last_update
313000.0,3,1.5,1340,7912,1.5,0,0,3,1340,0,Shoreline,310995.0
2384000.0,5,2.5,3650,9050,2.0,0,4,5,3370,280,Seattle,2382079.0
342000.0,3,2.0,1930,11947,1.0,0,0,4,1930,0,Kent,340034.0
420000.0,3,2.25,2000,8030,1.0,0,0,4,1000,1000,Bellevue,418037.0
550000.0,4,2.5,1940,10500,1.0,0,0,4,1140,800,Redmond,548008.0
490000.0,2,1.0,880,6380,1.0,0,0,3,880,0,Seattle,488006.0
335000.0,2,2.0,1350,2560,1.0,0,0,3,1350,0,Redmond,333024.0
482000.0,4,2.5,2710,35868,2.0,0,0,3,2710,0,Maple Valley,480011.0
452500.0,3,2.5,2430,88426,1.0,0,0,4,1570,860,North Bend,450515.0
640000.0,4,2.0,1520,6200,1.5,0,0,3,1520,0,Seattle,637990.0
463000.0,3,1.75,1710,7320,1.0,0,0,3,1710,0,Lake Forest Park,461006.0
1400000.0,4,2.5,2920,4000,1.5,0,0,5,1910,1010,Seattle,1398012.0
588500.0,3,1.75,2330,14892,1.0,0,0,3,1970,360,Sammamish,586520.0
365000.0,3,1.0,1090,6435,1.0,0,0,4,1090,0,Seattle,362991.0
1200000.0,5,2.75,2910,9480,1.5,0,0,3,2910,0,Seattle,1198031.0
242500.0,3,1.5,1200,9720,1.0,0,0,4,1200,0,Kent,240535.0
419000.0,3,1.5,1570,6700,1.0,0,0,4,1570,0,Bellevue,417044.0
367500.0,4,3.0,3110,7231,2.0,0,0,3,3110,0,Auburn,365503.0
257950.0,3,1.75,1370,5858,1.0,0,0,3,1370,0,Des Moines,255950.0
275000.0,3,1.5,1180,10277,1.0,0,0,3,1180,0,North Bend,272991.0
750000.0,3,1.75,2240,10578,2.0,0,0,5,1550,690,Seattle,748077.0
435000.0,4,1.0,1450,8800,1.0,0,0,4,1450,0,Bellevue,433021.0
626000.0,3,2.25,1750,1572,2.5,0,0,3,1470,280,Seattle,623995.0
612500.0,4,2.5,2730,12261,2.0,0,0,3,2730,0,Bothell,610509.0
495000.0,4,1.75,1600,6380,1.0,0,0,3,1130,470,Seattle,493011.0
285000.0,3,2.5,2090,10834,1.0,0,0,4,1360,730,Federal Way,283013.0
615000.0,3,1.75,2360,7291,1.0,0,0,4,1360,1000,Seattle,613052.0
698000.0,4,2.25,2200,11250,1.5,0,0,5,1300,900,Kirkland,696080.0
675000.0,5,2.5,2820,67518,2.0,0,0,3,2820,0,Issaquah,672986.0
790000.0,3,2.5,2600,4750,1.0,0,0,4,1700,900,Seattle,788001.0
382500.0,4,1.75,1560,8700,1.0,0,0,4,1560,0,Kirkland,380533.0
499950.0,4,2.5,2860,3345,2.0,0,0,3,2190,670,Woodinville,497947.0
650000.0,4,2.0,1820,5000,1.5,0,1,3,1640,180,Seattle,647990.0
625000.0,4,2.5,2820,8408,2.0,0,0,3,2820,0,Shoreline,622986.0
400000.0,4,2.5,3630,42884,1.5,0,0,3,2300,1330,Auburn,397986.0
604000.0,3,2.5,3240,33151,2.0,0,2,3,3240,0,Federal Way,602005.0
440000.0,2,1.0,800,4850,1.0,0,0,4,800,0,Seattle,438056.0
287200.0,3,3.0,1850,19966,1.0,0,0,4,1090,760,Maple Valley,285208.0
403000.0,3,2.0,1960,13100,1.0,0,2,5,1650,310,Normandy Park,401043.0
750000.0,3,2.5,2390,6550,1.0,0,2,4,1440,950,Seattle,747991.0
335000.0,3,2.25,1580,16215,1.0,0,0,4,1580,0,Fall City,333000.0
260000.0,4,2.0,1480,8625,1.0,0,0,4,1480,0,Renton,258026.0
308500.0,2,1.0,850,6174,1.0,0,0,4,850,0,Shoreline,306517.0
439950.0,3,2.5,1770,2875,2.0,0,0,3,1770,0,Seattle,437941.0
235000.0,2,1.0,1210,9400,1.0,0,0,2,1210,0,Seattle,233051.0
315000.0,3,1.0,1160,9180,1.0,0,0,3,1160,0,Woodinville,313003.0
437500.0,3,2.25,1970,35100,2.0,0,0,4,1970,0,Issaquah,435523.0
407500.0,3,2.5,1930,10460,2.0,0,0,3,1930,0,Renton,405504.0
445700.0,3,2.5,1270,1180,3.0,0,0,3,1270,0,Seattle,443699.0
838000.0,4,2.5,3310,42998,2.0,0,0,3,3310,0,Redmond,835999.0
630000.0,4,2.75,2710,37277,2.0,0,0,3,2710,0,Issaquah,628000.0
550000.0,3,1.75,2910,35200,1.5,0,0,3,2910,0,Sammamish,547986.0
805000.0,3,2.0,2710,4500,1.5,0,0,4,1880,830,Seattle,803071.0
284000.0,3,1.75,1800,23103,1.0,0,0,3,1800,0,Carnation,282003.0
470000.0,5,2.5,2210,9655,1.0,0,0,3,1460,750,Bothell,468024.0
430000.0,4,1.5,1920,10000,1.0,0,0,4,1070,850,Bellevue,428021.0
491500.0,4,1.75,2190,125452,1.0,0,2,3,2190,0,Auburn,489503.0
785000.0,5,3.25,3660,11995,2.0,0,2,3,3660,0,Snoqualmie,782994.0
385000.0,3,3.25,1320,1327,2.0,0,0,3,1040,280,Seattle,382992.0
295000.0,2,2.5,1630,1368,2.0,0,0,3,1280,350,Seattle,292991.0
555000.0,4,2.5,3310,6500,2.0,0,0,3,3310,0,Snoqualmie,553088.0
459990.0,3,2.5,2680,5539,2.0,0,0,3,2680,0,North Bend,458067.0
625000.0,4,3.25,2730,54014,1.0,0,0,3,1560,1170,Renton,622993.0
300000.0,3,2.5,2540,5050,2.0,0,0,3,2540,0,Kent,297994.0
625000.0,4,2.75,2920,6605,2.0,0,0,3,2920,0,Renton,623088.0
553000.0,2,1.0,900,5000,1.0,0,0,3,900,0,Seattle,551056.0
379880.0,3,2.5,1650,14054,1.0,0,0,4,1130,520,Issaquah,377894.0
310000.0,3,1.0,1010,9945,1.0,0,0,4,1010,0,Snoqualmie,308027.0
775000.0,2,2.5,2680,7392,1.0,0,0,3,2680,0,Redmond,772997.0
365000.0,3,2.5,2200,7350,1.0,0,0,5,1570,630,Renton,363012.0
331950.0,4,2.5,2530,9933,2.0,0,2,3,2010,520,Auburn,329941.0
783500.0,3,2.5,2850,7130,2.0,0,0,3,1990,860,Seattle,781520.0
628000.0,4,2.0,2280,6010,1.0,0,0,3,1140,1140,Seattle,625995.0
560000.0,3,2.5,1900,8744,2.0,0,0,3,1900,0,Sammamish,558000.0
900000.0,3,1.0,1330,77972,1.0,0,0,3,1330,0,Kirkland,898046.0
531000.0,2,3.0,1270,1175,2.0,0,0,3,1110,160,Seattle,529000.0
831000.0,4,3.0,2170,4000,2.0,0,0,4,1610,560,Seattle,828989.0
780000.0,4,2.5,2730,10281,2.0,0,2,3,2730,0,Sammamish,778004.0
755000.0,4,2.5,2120,10202,1.0,0,0,4,1620,500,Bellevue,752999.0
705380.0,3,2.5,2490,4343,2.0,0,0,3,2490,0,Issaquah,703377.0
627000.0,4,2.25,1990,7712,1.0,0,0,3,1210,780,Issaquah,624987.0
865000.0,4,3.0,3690,9892,2.0,0,0,3,3690,0,Sammamish,862994.0
580000.0,2,1.0,2540,7000,1.0,0,0,5,1320,1220,Seattle,578058.0
410000.0,3,2.25,1800,36704,1.0,0,0,4,1360,440,Issaquah,408000.0
485000.0,4,3.0,2340,7048,1.0,0,0,4,1340,1000,Kirkland,483021.0
400000.0,2,1.75,2110,9519,1.0,0,0,2,2110,0,Shoreline,398052.0
549000.0,2,1.0,1140,5400,1.0,0,0,5,1140,0,Seattle,547092.0
620000.0,3,1.75,1480,2185,2.5,0,0,3,1480,0,Kirkland,617995.0
405000.0,2,3.0,1410,1240,2.0,0,0,3,1140,270,Seattle,402994.0
232000.0,2,1.0,1200,8063,1.0,0,0,4,1200,0,Des Moines,230028.0
800866.0,5,2.5,3180,13806,2.0,0,0,4,3180,0,Kirkland,798876.0
650000.0,3,1.5,2160,9000,1.0,0,2,4,1400,760,Seattle,648015.0
823000.0,6,1.75,2920,5000,2.5,0,0,4,2780,140,Seattle,821092.0
770000.0,3,2.0,2350,5700,1.5,0,0,4,1810,540,Seattle,768011.0
524000.0,3,1.75,1560,5520,1.0,0,0,4,780,780,Seattle,522056.0
541125.0,5,2.75,2740,8426,1.0,0,0,4,1370,1370,Bellevue,539124.0
670000.0,3,2.5,1680,2000,3.0,0,0,3,1680,0,Seattle,668002.0
384900.0,5,2.5,3090,12750,1.0,0,0,3,1750,1340,Federal Way,382903.0
406100.0,3,2.25,1410,1332,3.0,0,0,3,1410,0,Seattle,404095.0
1395000.0,5,3.5,4010,8510,2.0,0,1,5,2850,1160,Seattle,1393029.0
736500.0,4,2.5,3180,21904,2.0,0,3,3,3180,0,Renton,734500.0
570000.0,3,2.25,2010,6000,1.0,0,0,3,1330,680,Redmond,568025.0
787000.0,3,1.75,1330,7500,1.0,0,0,3,1330,0,Bellevue,784996.0
328000.0,4,2.5,2370,6500,2.0,0,0,3,2370,0,Auburn,325994.0
435000.0,5,2.0,1840,9240,1.0,0,0,4,1540,300,Seattle,433042.0
499000.0,4,2.5,2910,6479,2.0,0,0,3,2910,0,Snoqualmie,496994.0
501000.0,4,1.0,2070,7519,1.0,0,0,3,1160,910,Bellevue,498992.0
1090000.0,4,2.5,4340,141570,2.5,0,0,3,4340,0,Redmond,1088008.0
400000.0,2,1.0,840,5510,1.0,0,0,3,840,0,Seattle,397995.0
220000.0,4,1.5,1240,9600,1.0,0,0,3,1240,0,Federal Way,218029.0
657100.0,4,1.0,1390,4240,1.0,0,0,3,1050,340,Seattle,655089.0
309950.0,4,2.75,2310,5000,2.0,0,0,3,2310,0,Maple Valley,307944.0
300000.0,3,2.0,1050,10072,1.0,0,0,3,1050,0,Duvall,298014.0
525888.0,5,1.75,2550,71874,1.0,0,0,5,1810,740,Issaquah,523928.0
740000.0,4,1.75,2010,3600,1.5,0,0,3,2010,0,Seattle,738098.0
340000.0,5,1.0,1120,9022,1.5,0,0,4,1120,0,Kirkland,338038.0
398750.0,3,2.5,2230,4000,2.0,0,0,3,2230,0,Seattle,396745.0
206000.0,2,1.0,810,7158,1.0,0,0,5,810,0,Burien,204056.0
1030000.0,5,2.75,3190,16920,1.0,0,3,3,1690,1500,Bellevue,1028024.0
600000.0,3,1.75,1670,39639,1.0,0,0,4,1670,0,Sammamish,598008.0
