model,train_accuracy,test_accuracy,acc_gap_train_minus_test,train_f1_weighted,test_f1_weighted,fit_status
Extra Trees,0.9995443598255549,0.7280182232346242,0.2715261365909307,0.9995443592166106,0.7259964424256931,Likely overfitting
Random Forest,0.9995443598255549,0.725740318906606,0.27380404091894894,0.9995443603127079,0.7245862722281802,Likely overfitting
Decision Tree,0.9995443598255549,0.6744874715261959,0.32505688829935897,0.9995443592166106,0.6733933760259635,Likely overfitting
XGBoost,0.8442361517932695,0.6533029612756264,0.19093319051764313,0.8443375673987826,0.652474503725316,Generalization acceptable
KNN,0.7620907374861681,0.621867881548975,0.14022285593719308,0.7575562692978499,0.6126210335244486,Generalization acceptable
MLP (Neural Network),0.6799453231790666,0.5790432801822324,0.10090204299683425,0.6733253592837126,0.5687022949171017,Likely underfitting
Gradient Boosting,0.5900540259063984,0.5626423690205011,0.027411656885897306,0.5917563143894721,0.5655715171532942,Likely underfitting
SVM (RBF),0.5209269022977283,0.48542141230068336,0.03550548999704495,0.5103116586206039,0.47260863169257367,Likely underfitting
Logistic Regression,0.4536223393868385,0.45239179954441916,0.0012305398424193315,0.4465955919772873,0.44487598346446383,Likely underfitting
AdaBoost,0.44639718804920914,0.434624145785877,0.011773042263332145,0.4262364804523895,0.4141602550844032,Likely underfitting
Naive Bayes,0.4361127383974484,0.4337129840546697,0.002399754342778726,0.4057705443865186,0.40214664792788446,Likely underfitting
