passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount	tpep_pickup_datetime_day	tpep_pickup_datetime_month	tpep_pickup_datetime_year	tpep_pickup_datetime_hour	tpep_pickup_datetime_minute	tpep_dropoff_datetime_day	tpep_dropoff_datetime_month	tpep_dropoff_datetime_year	tpep_dropoff_datetime_hour	tpep_dropoff_datetime_minute
6	3.34	1	N	1	13	0	0.5	2.76	0	0.3	16.56	25	3	2017	8	55	25	3	2017	9	9
	1.8	1	N	1	16	0	0.5	4	0	0.3	20.8	11	4	2017	14	53	11	4	2017	15	19
1	1	1	N	1	6.5	0	0.5	1.45	0	0.3	8.75	15	12	2017	7	26	15	12	2017	7	34
1	3.7	1	N	1	20.5	0	0.5	6.39	0	0.3	27.69	7	5	2017	13	17	7	5	2017	13	48
1	4.37	1	N	2	16.5	0.5	0.5	0	0	0.3	17.8	15	4	2017	23	32	15	4	2017	23	49
6	2.3	1	N	1	9	0.5	0.5	2.06	0	0.3	12.36	25	3	2017	20	34	25	3	2017	20	42
1	12.83	1	N	1	47.5	1	0.5	9.86	0	0.3	59.16	3	5	2017	19	4	3	5	2017	20	3
1	2.98	1	N	1	16	1	0.5	1.78	0	0.3	19.58	15	8	2017	17	41	15	8	2017	18	3
1	1.2	1	N	2	9	0	0.5	0	0	0.3	9.8	4	2	2017	16	17	4	2	2017	16	29
1	1.6	1	N	1	13	0	0.5	2.75	0	0.3	16.55	10	11	2017	15	20	10	11	2017	15	40
1	1.77	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76	4	3	2017	11	58	4	3	2017	12	13
2	18.9	2	N	1	52	0	0.5	14.58	5.54	0.3	72.92	5	3	2017	19	15	5	3	2017	19	52
1	3	1	N	1	15	1	0.5	3.35	0	0.3	20.15	9	6	2017	19	0	9	6	2017	19	20
1	2.39	1	N	1	9.5	0.5	0.5	2.16	0	0.3	12.96	6	11	2017	23	35	6	11	2017	23	42
1	3.3	1	N	1	17.5	0	0.5	4.55	0	0.3	22.85	22	2	2017	15	18	22	2	2017	15	42
1	5.93	1	N	1	19	0	0.5	3	0	0.3	22.8	2	6	2017	6	41	2	6	2017	6	57
1	3.6	1	N	1	12.5	1	0.5	2.85	0	0.3	17.15	15	8	2017	19	48	15	8	2017	20	0
2	1.71	1	N	1	9.5	0	0.5	0	0	0.3	10.3	10	7	2017	13	36	10	7	2017	13	48
2	0.63	1	N	2	5	1	0.5	0	0	0.3	6.8	10	4	2017	18	12	10	4	2017	18	17
2	2.77	1	N	1	11.5	0.5	0.5	3.2	0	0.3	16	5	3	2017	4	1	5	3	2017	4	14
1	1.1	1	N	2	6.5	0.5	0.5	0	0	0.3	7.8	30	12	2017	23	52	30	12	2017	23	58
1	12.3	5	N	1	68.25	0	0	12	16.26	0.3	96.81	11	10	2017	12	34	11	10	2017	13	22
1	0.52	1	N	1	5.5	0.5	0.5	1	0	0.3	7.8	6	1	2017	20	12	6	1	2017	20	18
1	1.7	1	N	1	7	0.5	0.5	2.05	0	0.3	10.35	27	6	2017	0	8	27	6	2017	0	13
1	0.9	1	N	1	5.5	0	0.5	1.25	0	0.3	7.55	13	2	2017	10	29	13	2	2017	10	34
1	1.72	1	N	1	8	0.5	0.5	2.79	0	0.3	12.09	14	1	2017	19	58	14	1	2017	20	5
1	2.7	1	N	1	13	0.5	0.5	2.85	0	0.3	17.15	4	11	2017	1	27	4	11	2017	1	44
1	0.85	1	N	2	5.5	0	0.5	0	0	0.3	6.3	24	11	2017	10	48	24	11	2017	10	52
1	2.3	1	N	1	11	0	0.5	2.35	0	0.3	14.15	22	11	2017	10	24	22	11	2017	10	38
1	30.83	1	N	1	80	0.5	0.5	18.56	11.52	0.3	111.38	6	11	2017	20	30	7	11	2017	0	0
1	2.3	1	N	1	10.5	0.5	0.5	1.77	0	0.3	13.57	9	8	2017	21	1	9	8	2017	21	14
4	1.5	1	N	2	9	0	0.5	0	0	0.3	9.8	12	4	2017	11	7	12	4	2017	11	19
1	14.32	1	N	2	40.5	0.5	0.5	0	0	0.3	41.8	26	7	2017	23	26	26	7	2017	23	55
1	2.9	1	N	1	15.5	1	0.5	3.45	0	0.3	20.75	26	10	2017	19	43	26	10	2017	20	6
1	1.7	1	N	1	10.5	0	0.5	1.7	0	0.3	13	4	3	2017	18	19	4	3	2017	18	32
5	2.69	1	N	2	9.5	0.5	0.5	0	0	0.3	10.8	5	11	2017	1	35	5	11	2017	1	43
1	0.6	1	N	2	5	0	0.5	0	0	0.3	5.8	24	2	2017	11	24	24	2	2017	11	29
1	2.11	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76	23	2	2017	8	4	23	2	2017	8	18
4	0.4	1	N	1	4	0	0.5	0.72	0	0.3	5.52	12	2	2017	18	45	12	2	2017	18	48
1	1.28	1	N	1	7.5	0	0.5	5	0	0.3	13.3	8	12	2017	12	21	8	12	2017	12	30
3	1.23	1	N	1	9.5	1	0.5	2.26	0	0.3	13.56	15	9	2017	19	9	15	9	2017	19	23
1	2	1	N	1	9	0	0.5	1.95	0	0.3	11.75	25	2	2017	7	41	25	2	2017	7	50
1	4.52	1	N	1	16.5	0	0.5	2	0	0.3	19.3	8	12	2017	7	59	8	12	2017	8	15
2	1.12	1	N	1	6.5	0	0.5	1.82	0	0.3	9.12	26	4	2017	11	18	26	4	2017	11	24
1	0.59	1	N	1	5	1	0.5	1.36	0	0.3	8.16	15	2	2017	17	30	15	2	2017	17	35
1	1.5	1	N	1	8.5	1	0.5	2.55	0	0.3	12.85	14	8	2017	17	15	14	8	2017	17	25
4	1.71	1	N	2	10.5	0	0.5	0	0	0.3	11.3	5	9	2017	15	10	5	9	2017	15	25
4	8.69	1	N	1	31.5	0.5	0.5	6.56	0	0.3	39.36	13	1	2017	2	37	13	1	2017	3	17
6	2.69	1	N	2	11	0.5	0.5	0	0	0.3	12.3	11	3	2017	4	46	11	3	2017	4	57
1	0.42	1	N	1	3.5	0	0.5	0.86	0	0.3	5.16	27	4	2017	7	26	27	4	2017	7	28
2	7.37	1	N	2	25.5	0	0.5	0	0	0.3	26.3	13	7	2017	8	23	13	7	2017	8	47
1	2.2	1	N	2	10.5	1	0.5	0	0	0.3	12.3	4	4	2017	16	22	4	4	2017	16	35
2	2.6	1	N	2	17.5	0	0.5	0	0	0.3	18.3	5	1	2017	14	56	5	1	2017	15	24
1	0.8	1	N	1	4.5	1	0.5	1.26	0	0.3	7.56	28	3	2017	19	10	28	3	2017	19	13
1	2.9	1	N	2	16	0	0.5	0	0	0.3	16.8	1	9	2017	9	37	1	9	2017	10	0
1	11.07	1	N	1	32.5	0.5	0.5	6.76	0	0.3	40.56	17	8	2017	22	6	17	8	2017	22	32
1	2.7	1	N	1	15.5	0	0.5	4.05	0	0.3	20.35	10	2	2017	11	47	10	2	2017	12	9
2	2.51	1	N	1	10	0.5	0.5	3.39	0	0.3	14.69	7	3	2017	20	19	7	3	2017	20	29
1	0.78	1	N	2	7	0	0.5	0	0	0.3	7.8	18	3	2017	12	12	18	3	2017	12	20
1	0.85	1	N	1	4.5	0	0.5	1.59	0	0.3	6.89	3	3	2017	8	2	3	3	2017	8	5
5	0.38	1	N	1	4	1	0.5	1.16	0	0.3	6.96	26	4	2017	18	8	26	4	2017	18	11
1	1.15	1	N	1	8	0	0.5	1.76	0	0.3	10.56	21	4	2017	15	8	21	4	2017	15	18
1	7.16	1	N	2	21	0	0.5	0	0	0.3	21.8	4	2	2017	18	4	4	2	2017	18	19
6	0.22	3	N	2	21.5	0	0	0	0	0.3	21.8	5	10	2017	9	39	5	10	2017	9	42
1	0.7	1	N	1	5	0	0.5	1.15	0	0.3	6.95	17	3	2017	9	17	17	3	2017	9	21
6	0.71	1	N	2	4.5	0	0.5	0	0	0.3	5.3	31	12	2017	13	3	31	12	2017	13	6
1	3.1	1	N	1	28	0	0.5	5.76	0	0.3	34.56	12	12	2017	11	12	12	12	2017	12	1
2	2.96	1	N	1	13	0.5	0.5	2.86	0	0.3	17.16	3	9	2017	23	15	3	9	2017	23	31
