tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
3/25/2017 8:55	3/25/2017 9:09	6	3.34	1	N	1	13	0	0.5	2.76	0	0.3	16.56
04-11-17 14:53	04-11-17 15:19		1.8	1	N	1	16	0	0.5	4	0	0.3	20.8
12/15/2017 7:26	12/15/2017 7:34	1	1	1	N	1	6.5	0	0.5	1.45	0	0.3	8.75
05-07-17 13:17	05-07-17 13:48	1	3.7	1	N	1	20.5	0	0.5	6.39	0	0.3	27.69
4/15/2017 23:32	4/15/2017 23:49	1	4.37	1	N	2	16.5	0.5	0.5	0	0	0.3	17.8
3/25/2017 20:34	3/25/2017 20:42	6	2.3	1	N	1	9	0.5	0.5	2.06	0	0.3	12.36
05-03-17 19:04	05-03-17 20:03	1	12.83	1	N	1	47.5	1	0.5	9.86	0	0.3	59.16
8/15/2017 17:41	8/15/2017 18:03	1	2.98	1	N	1	16	1	0.5	1.78	0	0.3	19.58
02-04-17 16:17	02-04-17 16:29	1	1.2	1	N	2	9	0	0.5	0	0	0.3	9.8
11-10-17 15:20	11-10-17 15:40	1	1.6	1	N	1	13	0	0.5	2.75	0	0.3	16.55
03-04-17 11:58	03-04-17 12:13	1	1.77	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76
03-05-17 19:15	03-05-17 19:52	2	18.9	2	N	1	52	0	0.5	14.58	5.54	0.3	72.92
06-09-17 19:00	06-09-17 19:20	1	3	1	N	1	15	1	0.5	3.35	0	0.3	20.15
11-06-17 23:35	11-06-17 23:42	1	2.39	1	N	1	9.5	0.5	0.5	2.16	0	0.3	12.96
2/22/2017 15:18	2/22/2017 15:42	1	3.3	1	N	1	17.5	0	0.5	4.55	0	0.3	22.85
06-02-17 6:41	06-02-17 6:57	1	5.93	1	N	1	19	0	0.5	3	0	0.3	22.8
8/15/2017 19:48	8/15/2017 20:00	1	3.6	1	N	1	12.5	1	0.5	2.85	0	0.3	17.15
07-10-17 13:36	07-10-17 13:48	2	1.71	1	N	1	9.5	0	0.5	0	0	0.3	10.3
04-10-17 18:12	04-10-17 18:17	2	0.63	1	N	2	5	1	0.5	0	0	0.3	6.8
03-05-17 4:01	03-05-17 4:14	2	2.77	1	N	1	11.5	0.5	0.5	3.2	0	0.3	16
12/30/2017 23:52	12/30/2017 23:58	1	1.1	1	N	2	6.5	0.5	0.5	0	0	0.3	7.8
10-11-17 12:34	10-11-17 13:22	1	12.3	5	N	1	68.25	0	0	12	16.26	0.3	96.81
01-06-17 20:12	01-06-17 20:18	1	0.52	1	N	1	5.5	0.5	0.5	1	0	0.3	7.8
6/27/2017 0:08	6/27/2017 0:13	1	1.7	1	N	1	7	0.5	0.5	2.05	0	0.3	10.35
2/13/2017 10:29	2/13/2017 10:34	1	0.9	1	N	1	5.5	0	0.5	1.25	0	0.3	7.55
1/14/2017 19:58	1/14/2017 20:05	1	1.72	1	N	1	8	0.5	0.5	2.79	0	0.3	12.09
11-04-17 1:27	11-04-17 1:44	1	2.7	1	N	1	13	0.5	0.5	2.85	0	0.3	17.15
11/24/2017 10:48	11/24/2017 10:52	1	0.85	1	N	2	5.5	0	0.5	0	0	0.3	6.3
11/22/2017 10:24	11/22/2017 10:38	1	2.3	1	N	1	11	0	0.5	2.35	0	0.3	14.15
11-06-17 20:30	11-07-17 0:00	1	30.83	1	N	1	80	0.5	0.5	18.56	11.52	0.3	111.38
08-09-17 21:01	08-09-17 21:14	1	2.3	1	N	1	10.5	0.5	0.5	1.77	0	0.3	13.57
04-12-17 11:07	04-12-17 11:19	4	1.5	1	N	2	9	0	0.5	0	0	0.3	9.8
7/26/2017 23:26	7/26/2017 23:55	1	14.32	1	N	2	40.5	0.5	0.5	0	0	0.3	41.8
10/26/2017 19:43	10/26/2017 20:06	1	2.9	1	N	1	15.5	1	0.5	3.45	0	0.3	20.75
03-04-17 18:19	03-04-17 18:32	1	1.7	1	N	1	10.5	0	0.5	1.7	0	0.3	13
11-05-17 1:35	11-05-17 1:43	5	2.69	1	N	2	9.5	0.5	0.5	0	0	0.3	10.8
2/24/2017 11:24	2/24/2017 11:29	1	0.6	1	N	2	5	0	0.5	0	0	0.3	5.8
2/23/2017 8:04	2/23/2017 8:18	1	2.11	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76
02-12-17 18:45	02-12-17 18:48	4	0.4	1	N	1	4	0	0.5	0.72	0	0.3	5.52
12-08-17 12:21	12-08-17 12:30	1	1.28	1	N	1	7.5	0	0.5	5	0	0.3	13.3
9/15/2017 19:09	9/15/2017 19:23	3	1.23	1	N	1	9.5	1	0.5	2.26	0	0.3	13.56
2/25/2017 7:41	2/25/2017 7:50	1	2	1	N	1	9	0	0.5	1.95	0	0.3	11.75
12-08-17 7:59	12-08-17 8:15	1	4.52	1	N	1	16.5	0	0.5	2	0	0.3	19.3
4/26/2017 11:18	4/26/2017 11:24	2	1.12	1	N	1	6.5	0	0.5	1.82	0	0.3	9.12
2/15/2017 17:30	2/15/2017 17:35	1	0.59	1	N	1	5	1	0.5	1.36	0	0.3	8.16
8/14/2017 17:15	8/14/2017 17:25	1	1.5	1	N	1	8.5	1	0.5	2.55	0	0.3	12.85
09-05-17 15:10	09-05-17 15:25	4	1.71	1	N	2	10.5	0	0.5	0	0	0.3	11.3
1/13/2017 2:37	1/13/2017 3:17	4	8.69	1	N	1	31.5	0.5	0.5	6.56	0	0.3	39.36
03-11-17 4:46	03-11-17 4:57	6	2.69	1	N	2	11	0.5	0.5	0	0	0.3	12.3
4/27/2017 7:26	4/27/2017 7:28	1	0.42	1	N	1	3.5	0	0.5	0.86	0	0.3	5.16
7/13/2017 8:23	7/13/2017 8:47	2	7.37	1	N	2	25.5	0	0.5	0	0	0.3	26.3
04-04-17 16:22	04-04-17 16:35	1	2.2	1	N	2	10.5	1	0.5	0	0	0.3	12.3
01-05-17 14:56	01-05-17 15:24	2	2.6	1	N	2	17.5	0	0.5	0	0	0.3	18.3
3/28/2017 19:10	3/28/2017 19:13	1	0.8	1	N	1	4.5	1	0.5	1.26	0	0.3	7.56
09-01-17 9:37	09-01-17 10:00	1	2.9	1	N	2	16	0	0.5	0	0	0.3	16.8
8/17/2017 22:06	8/17/2017 22:32	1	11.07	1	N	1	32.5	0.5	0.5	6.76	0	0.3	40.56
02-10-17 11:47	02-10-17 12:09	1	2.7	1	N	1	15.5	0	0.5	4.05	0	0.3	20.35
03-07-17 20:19	03-07-17 20:29	2	2.51	1	N	1	10	0.5	0.5	3.39	0	0.3	14.69
3/18/2017 12:12	3/18/2017 12:20	1	0.78	1	N	2	7	0	0.5	0	0	0.3	7.8
03-03-17 8:02	03-03-17 8:05	1	0.85	1	N	1	4.5	0	0.5	1.59	0	0.3	6.89
4/26/2017 18:08	4/26/2017 18:11	5	0.38	1	N	1	4	1	0.5	1.16	0	0.3	6.96
4/21/2017 15:08	4/21/2017 15:18	1	1.15	1	N	1	8	0	0.5	1.76	0	0.3	10.56
02-04-17 18:04	02-04-17 18:19	1	7.16	1	N	2	21	0	0.5	0	0	0.3	21.8
10-05-17 9:39	10-05-17 9:42	6	0.22	3	N	2	21.5	0	0	0	0	0.3	21.8
3/17/2017 9:17	3/17/2017 9:21	1	0.7	1	N	1	5	0	0.5	1.15	0	0.3	6.95
12/31/2017 13:03	12/31/2017 13:06	6	0.71	1	N	2	4.5	0	0.5	0	0	0.3	5.3
12-12-17 11:12	12-12-17 12:01	1	3.1	1	N	1	28	0	0.5	5.76	0	0.3	34.56
09-03-17 23:15	09-03-17 23:31	2	2.96	1	N	1	13	0.5	0.5	2.86	0	0.3	17.16
12/13/2017 7:06	12/13/2017 7:11	1	0.8	1	N	1	5.5	0	0.5	1	0	0.3	7.3
08-01-17 18:09	08-01-17 18:14	1	0.96	1	N	2	5.5	1	0.5	0	0	0.3	7.3
10-10-17 14:40	10-10-17 14:54	4	1.9	1	N	2	10.5	0	0.5	0	0	0.3	11.3
