datetime,SPAIN_IMP_F_FREN(/MWh),FREN_MARKET(/MWh),SPAIN_EXP_TO_PORT(/MWh),SPAIN_IMP_F_PORT_PORT(/MWh),SPAIN_EXP_TO_FREN(/MWh),SPAIN_COMP_CYCLE(MWH),SPAIN_WIND(MWH),SPAIN_NUC(MWH),SPAIN_TOT_GENERATION(MWH),SPAIN_HYDRO(MWH),SPAIN_COAL(MWH),SPAIN_ACTUAL_D(MW),SPAIN_TOTAL_DEMAND(MWH),DAILY_FREN_MARKET(MWH),DAILY_SPAN_MARKET(MWH),SPAIN_GAS(MWH)2,SPAIN_PHVOLTAIC(MWH)2,SPAIN_HYDRO_TOT(MWH),PORT_MARKET(/MWh),SPAIN_GENERATION,OUTPUT
31/12/2018,0.0,41.2425,0.0,0.0,577108.49,0.0,0.0,0.0,0.0,10764.0,0.0,0.0,0.0,397396.6,247295.8,61770.5,19967.0,71905.4,63.45458333,0.0,25.28083333
27/12/2018,0.0,55.32166667,0.0,0.0,196611.2,37286.6,97631.5,145430.4,526930.6,8466.2,34197.3,25908.57639,597701.2,449552.2,227376.4,66782.2,18812.7,85938.3,61.795,34197.3,39.92416667
30/12/2018,0.0,47.33125,0.0,0.0,189703.0,424.0,151707.2,145392.0,510049.1,9020.0,683.0,25255.05556,574254.2,425522.8,203769.6,72911.5,18946.6,77932.7,58.49375,683.0,4.992083333
26/12/2018,0.0,53.44833333,0.0,0.0,122948.0,0.0,188485.7,145418.4,543353.5,8738.8,1776.0,26632.84028,602541.7,455438.4,204378.8,74152.7,15096.0,75207.5,57.04833333,1776.0,4.091666667
29/12/2018,0.0,60.83916667,0.0,0.0,35740.7,34335.1,120618.6,145380.0,589771.5,8838.0,68721.4,28624.19444,639571.2,490658.5,231141.3,76964.0,14287.2,88123.0,63.78541667,68721.4,13.5875
23/12/2018,0.0,61.50625,0.0,0.0,103420.6,71015.8,59887.6,145171.2,611465.3,14364.0,84528.1,28521.42361,649103.9,482798.8,245317.4,75584.5,14083.1,114102.3,67.63458333,84528.1,47.88541667
28/12/2018,0.0,52.68916667,0.0,4560.0,248331.5,46904.8,75764.6,145139.2,562606.4,9245.9,75146.0,26514.39583,612702.5,476122.2,211013.4,71929.2,12802.5,97526.4,63.08833333,75146.0,41.2075
18/12/2018,24492.6,39.28541667,0.0,0.0,294105.3,4583.0,64066.0,135682.5,463137.8,5524.3,73230.7,22331.72222,527281.8,402771.7,278151.2,61371.1,11381.0,82018.0,62.46625,73230.7,49.02208333
17/12/2018,13248.7,50.32875,0.0,0.0,311732.5,42200.9,68630.0,138574.3,532506.3,5905.8,76705.9,25500.34028,596095.6,470351.2,311125.3,66871.4,14044.0,91360.1,64.08916667,76705.9,56.20291667
16/12/2018,88309.5,45.35625,0.0,0.0,207463.7,17356.6,65225.4,131218.1,511090.4,4924.0,84283.9,25478.16667,585545.9,448926.6,295663.5,75066.7,13894.4,87949.4,62.98583333,84283.9,50.27708333
